Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,3,-1,0.0025
2,-1.0,6,-2,0.005
3,-1.0,3,-3,0.0075
4,-1.0,32,-4,0.01
5,-1.0,16,-5,0.0125
6,-1.0,26,-6,0.015
7,-1.0,17,-7,0.018631250000000002
8,-1.0,8,-8,0.02113125
9,-1.0,21,-9,0.023631250000000003
10,-1.0,27,-10,0.025668237705078124
11,-1.0,12,-11,0.028168237705078127
12,-1.0,3,-12,0.03179948770507813
13,-1.0,13,-13,0.034299487705078124
14,-1.0,39,-14,0.03793073770507813
15,-1.0,13,-15,0.04156198770507812
16,-1.0,16,-16,0.04520756348451542
17,-1.0,57,-17,0.04856157487727679
18,-1.0,44,-18,0.051740598467819726
19,-1.0,54,-19,0.05485668957748507
20,-1.0,13,-20,0.056696287937047105
21,-1.0,8,-21,0.059184147424747556
22,-1.0,19,-22,0.06167674492365293
23,-1.0,11,-23,0.0641732017776341
24,-1.0,20,-24,0.06667174269157054
25,-1.0,24,-25,0.06978993758417401
26,-1.0,24,-26,0.07340255089877845
27,-1.0,38,-27,0.07589731927269601
28,-1.0,9,-28,0.07952731490591095
29,-1.0,18,-29,0.08174982414098465
30,-1.0,59,-30,0.08356081783291318
31,-1.0,67,-31,0.08588364406071303
32,-1.0,32,-32,0.08809737106485688
33,-1.0,13,-33,0.09172152155151504
34,-1.0,24,-34,0.09477714193546176
35,-1.0,11,-35,0.09839839916532664
36,-1.0,36,-36,0.10080433461760986
37,-1.0,12,-37,0.10413246862921596
38,-1.0,22,-38,0.10661194107073602
39,-1.0,35,-39,0.1088324396875347
40,-1.0,17,-40,0.11133163648087557
41,-1.0,26,-41,0.11443238750396825
42,-1.0,3,-42,0.11806468104382911
43,-1.0,84,-43,0.12054239814007527
44,-1.0,2,-44,0.1235413842132202
45,-1.0,13,-45,0.12606876365655875
46,-1.0,51,-46,0.1292697339461673
47,-1.0,54,-47,0.13170257394313023
48,-1.0,10,-48,0.1353388927399529
49,-1.0,27,-49,0.13782050051725062
50,-1.0,13,-50,0.1403136838574076
51,-1.0,18,-51,0.1439416779950694
52,-1.0,37,-52,0.14643985247543792
53,-1.0,34,-53,0.15006998626264173
54,-1.0,29,-54,0.1525371111959775
55,-1.0,9,-55,0.15569493308496388
56,-0.9821428571428571,100,-55,0.15488395123395676
