Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,1,-1,2.5e-07
2,-1.0,14,-2,5e-07
3,-1.0,8,-3,7.5e-07
4,-1.0,7,-4,1e-06
5,-1.0,3,-5,1.7450113125000001e-06
6,-1.0,16,-6,1.9950113125000005e-06
7,-1.0,22,-7,2.2450113125000002e-06
8,-1.0,23,-8,2.990022574604079e-06
9,-1.0,22,-9,3.240022574604079e-06
10,-1.0,57,-10,3.490022574604079e-06
11,-1.0,29,-11,3.7400225746040795e-06
12,-1.0,11,-12,3.990022574604079e-06
13,-1.0,47,-13,4.240022574604079e-06
14,-1.0,25,-14,4.4900225746040795e-06
15,-1.0,20,-15,4.74002257460408e-06
16,-1.0,8,-16,5.485033887104078e-06
17,-1.0,48,-17,5.735033837210855e-06
18,-1.0,10,-18,6.480045149710856e-06
19,-1.0,14,-19,6.7300451497108564e-06
20,-1.0,42,-20,7.4750564622108575e-06
21,-1.0,12,-21,8.220067724314935e-06
22,-1.0,91,-22,8.965078986472138e-06
23,-1.0,34,-23,1.0197686387370451e-05
24,-0.9583333333333334,100,-23,1.0197686098501765e-05
25,-0.96,68,-24,1.143029377281153e-05
26,-0.9230769230769231,100,-24,1.1430293679500957e-05
27,-0.9259259259259259,19,-25,1.314316897702297e-05
28,-0.8928571428571429,100,-25,1.3143166590686158e-05
29,-0.8620689655172413,100,-25,1.314316551641367e-05
30,-0.8666666666666667,57,-26,1.5329177203411956e-05
31,-0.8709677419354839,29,-27,1.5579176876701668e-05
32,-0.875,32,-28,1.582917450468507e-05
33,-0.8787878787878788,49,-29,1.607917185680983e-05
34,-0.8823529411764706,61,-30,1.731177701257917e-05
35,-0.8857142857142857,28,-31,1.7561774790886447e-05
36,-0.8888888888888888,47,-32,1.9274705568562525e-05
37,-0.8918918918918919,85,-33,2.0019716846251113e-05
38,-0.8947368421052632,37,-34,2.0269716755227336e-05
39,-0.8974358974358975,40,-35,2.101472794246627e-05
40,-0.9,60,-36,2.1264723381651707e-05
41,-0.9024390243902439,41,-37,2.1514723348448638e-05
42,-0.9047619047619048,43,-38,2.2259733499528685e-05
43,-0.9069767441860465,22,-39,2.3492340924852532e-05
44,-0.9090909090909091,42,-40,2.374234087005064e-05
45,-0.9111111111111111,47,-41,2.3992336619606823e-05
46,-0.9130434782608695,79,-42,2.424233137304259e-05
47,-0.9148936170212766,60,-43,2.4492330279339467e-05
48,-0.9166666666666666,23,-44,2.523734054748781e-05
49,-0.9183673469387755,19,-45,2.5487340515354383e-05
50,-0.92,11,-46,2.6719965075796122e-05
51,-0.9215686274509803,96,-47,2.6969958656895985e-05
52,-0.9230769230769231,90,-48,2.721995815880005e-05
53,-0.9245283018867925,28,-49,2.7964968155259137e-05
54,-0.9259259259259259,60,-50,2.821496386106169e-05
55,-0.9090909090909091,100,-50,2.8214957236468254e-05
56,-0.8928571428571429,100,-50,2.8214948996973914e-05
57,-0.8947368421052632,45,-51,2.8959959903863554e-05
58,-0.8793103448275862,100,-51,2.8959954958509552e-05
59,-0.864406779661017,100,-51,2.8959952002453013e-05
60,-0.8666666666666667,96,-52,2.9209944061219235e-05
61,-0.8688524590163934,73,-53,2.9954950114371657e-05
62,-0.8709677419354839,21,-54,3.069996109826433e-05
63,-0.8571428571428571,100,-54,3.069996026108738e-05
64,-0.84375,100,-54,3.0699953384557314e-05
65,-0.8461538461538461,98,-55,3.0949946786097654e-05
66,-0.8484848484848485,55,-56,3.266281898336222e-05
67,-0.8507462686567164,48,-57,3.291281829127522e-05
68,-0.8382352941176471,100,-57,3.291281284379913e-05
69,-0.8260869565217391,100,-57,3.291281083122571e-05
70,-0.8285714285714286,16,-58,3.414541798733181e-05
71,-0.8309859154929577,1,-59,3.679705778555857e-05
72,-0.8333333333333334,57,-60,3.704705659790985e-05
73,-0.8356164383561644,67,-61,3.87599314018631e-05
74,-0.8243243243243243,100,-61,3.87599291319256e-05
75,-0.8266666666666667,94,-62,3.900992702327766e-05
76,-0.8157894736842105,100,-62,3.9009921311478346e-05
77,-0.8181818181818182,1,-63,4.212029725739593e-05
78,-0.8205128205128205,39,-64,4.237029371220058e-05
79,-0.810126582278481,100,-64,4.237029046565367e-05
80,-0.8125,8,-65,4.593302851438484e-05
81,-0.8148148148148148,42,-66,4.667803948768744e-05
82,-0.8170731707317073,62,-67,4.83909124413212e-05
83,-0.8072289156626506,100,-67,4.8390883694851055e-05
84,-0.7976190476190477,100,-67,4.839086904922423e-05
85,-0.788235294117647,100,-67,4.839086090910718e-05
86,-0.7790697674418605,100,-67,4.839085966548364e-05
87,-0.7816091954022989,65,-68,5.057689918238156e-05
88,-0.7840909090909091,28,-69,5.322903991861746e-05
89,-0.7752808988764045,100,-69,5.3229012328739614e-05
90,-0.7666666666666667,100,-69,5.3228997933903725e-05
91,-0.7692307692307693,1,-70,5.7235922675017346e-05
92,-0.7608695652173914,100,-70,5.723591603022317e-05
93,-0.7634408602150538,6,-71,6.0347209713108834e-05
94,-0.7659574468085106,93,-72,6.109221435593001e-05
95,-0.7684210526315789,77,-73,6.13421980892722e-05
96,-0.7708333333333334,93,-74,6.20871925409043e-05
97,-0.7628865979381443,100,-74,6.208717662663613e-05
98,-0.7551020408163265,100,-74,6.208711446139933e-05
99,-0.7474747474747475,100,-74,6.208709299859239e-05
100,-0.74,100,-74,6.208706229183504e-05
101,-0.7425742574257426,31,-75,6.283207289452456e-05
102,-0.7352941176470589,100,-75,6.283207190555986e-05
103,-0.7281553398058253,100,-75,6.2832071471184e-05
104,-0.7307692307692307,65,-76,6.357708207322261e-05
105,-0.7238095238095238,100,-76,6.357708118297621e-05
106,-0.7169811320754716,100,-76,6.35770805429573e-05
107,-0.719626168224299,96,-77,6.480968717661346e-05
108,-0.7129629629629629,100,-77,6.480968630860715e-05
109,-0.7155963302752294,3,-78,6.555472053050336e-05
110,-0.7090909090909091,100,-78,6.555471937370931e-05
111,-0.7027027027027027,100,-78,6.555471242580668e-05
112,-0.6964285714285714,100,-78,6.555469608810814e-05
113,-0.6902654867256637,100,-78,6.555467581008476e-05
114,-0.6842105263157895,100,-78,6.555483170134797e-05
115,-0.6782608695652174,100,-78,6.555481575257549e-05
116,-0.6724137931034483,100,-78,6.555479464648805e-05
117,-0.6752136752136753,1,-79,6.999969510248784e-05
118,-0.6694915254237288,100,-79,6.999968131713982e-05
119,-0.6638655462184874,100,-79,6.999966108973029e-05
120,-0.6583333333333333,100,-79,6.99996583407742e-05
121,-0.6611570247933884,1,-80,7.487577597995827e-05
122,-0.6557377049180327,100,-80,7.48757737564078e-05
123,-0.6504065040650406,100,-80,7.487572313471571e-05
124,-0.6451612903225806,100,-80,7.487568685872154e-05
125,-0.64,100,-80,7.487566819016327e-05
126,-0.6428571428571429,59,-81,8.01769670143629e-05
127,-0.6377952755905512,100,-81,8.01769008420111e-05
128,-0.6328125,100,-81,8.017689492890575e-05
129,-0.627906976744186,100,-81,8.017689198018789e-05
130,-0.6230769230769231,100,-81,8.017687232570651e-05
131,-0.6259541984732825,9,-82,8.23630406097847e-05
132,-0.6212121212121212,100,-82,8.236301906744922e-05
133,-0.6165413533834586,100,-82,8.236300853250529e-05
134,-0.6119402985074627,100,-82,8.236298148582418e-05
135,-0.6148148148148148,98,-83,8.310798359764596e-05
136,-0.6176470588235294,82,-84,8.529397505690269e-05
137,-0.6131386861313869,100,-84,8.529396521206316e-05
138,-0.6086956521739131,100,-84,8.529394923584075e-05
139,-0.60431654676259,100,-84,8.529394105113923e-05
140,-0.6,100,-84,8.529393226322182e-05
141,-0.5957446808510638,100,-84,8.52939176818492e-05
142,-0.5915492957746479,100,-84,8.529390227844305e-05
143,-0.5874125874125874,100,-84,8.529389430190892e-05
144,-0.5833333333333334,100,-84,8.529388429537217e-05
145,-0.5793103448275863,100,-84,8.529386023120415e-05
146,-0.5821917808219178,50,-85,8.603887446332728e-05
147,-0.5850340136054422,5,-86,8.960229122598804e-05
148,-0.581081081081081,100,-86,8.96022832140339e-05
149,-0.5838926174496645,95,-87,9.225450213890042e-05
150,-0.58,100,-87,9.225446504862721e-05
151,-0.5827814569536424,72,-88,9.348706009661606e-05
152,-0.5789473684210527,100,-88,9.34870382115172e-05
153,-0.5751633986928104,100,-88,9.348697569075377e-05
154,-0.577922077922078,63,-89,9.5199895827509e-05
155,-0.5806451612903226,52,-90,9.544986409927557e-05
156,-0.5833333333333334,74,-91,9.763571094305044e-05
157,-0.5859872611464968,19,-92,9.788569197207867e-05
158,-0.5886075949367089,53,-93,9.911832461815562e-05
159,-0.5849056603773585,100,-93,9.911831289048773e-05
160,-0.5875,16,-94,0.00010035092028539491
161,-0.5838509316770186,100,-94,0.00010035089265428981
162,-0.5802469135802469,100,-94,0.00010035085692103919
163,-0.5828220858895705,97,-95,0.00010158342583692451
164,-0.5792682926829268,100,-95,0.00010158341404204108
165,-0.5757575757575758,100,-95,0.00010158340589716654
166,-0.572289156626506,100,-95,0.00010158338862892004
167,-0.5748502994011976,32,-96,0.00010281600766685925
168,-0.5714285714285714,100,-96,0.00010281599344188352
169,-0.5739644970414202,10,-97,0.0001068248784466535
170,-0.5764705882352941,3,-98,0.00011254522181117702
171,-0.5730994152046783,100,-98,0.00011254521312306812
172,-0.5755813953488372,71,-99,0.00011867623743970988
173,-0.5722543352601156,100,-99,0.00011867609036094076
174,-0.5747126436781609,88,-100,0.00012038906646184089
175,-0.5771428571428572,77,-101,0.00012113404208349956
176,-0.5795454545454546,59,-102,0.00012187900972504416
177,-0.5819209039548022,47,-103,0.0001263243316140158
178,-0.5786516853932584,100,-103,0.00012632431982771868
179,-0.5754189944134078,100,-103,0.0001263242221568677
180,-0.5722222222222222,100,-103,0.00012632417997031912
181,-0.574585635359116,61,-104,0.00012851009225774265
182,-0.5714285714285714,100,-104,0.00012851007996734698
183,-0.5737704918032787,69,-105,0.00012974285579768155
184,-0.5760869565217391,62,-106,0.0001309754094401618
185,-0.5783783783783784,55,-107,0.00013220800200972624
186,-0.5806451612903226,90,-108,0.00013708708803862536
187,-0.5828877005347594,28,-109,0.00013733703140128748
188,-0.5797872340425532,100,-109,0.0001373369585220803
189,-0.5767195767195767,100,-109,0.0001373369243010254
190,-0.5736842105263158,100,-109,0.00013733690401646322
191,-0.5706806282722513,100,-109,0.0001373367621198954
192,-0.5677083333333334,100,-109,0.00013733651730059142
193,-0.5699481865284974,57,-110,0.00013998830181412102
194,-0.5721649484536082,14,-111,0.00014309969167830894
195,-0.5743589743589743,52,-112,0.000145751755377028
196,-0.5714285714285714,100,-112,0.00014575159185622986
197,-0.5685279187817259,100,-112,0.0001457515587705788
198,-0.5656565656565656,100,-112,0.00014575152461142424
199,-0.5678391959798995,13,-113,0.00015105642862470723
200,-0.565,100,-113,0.00015105639385414442
201,-0.5671641791044776,72,-114,0.00015276922628403746
202,-0.5693069306930693,83,-115,0.00015400169013037203
203,-0.5665024630541872,100,-115,0.00015400147952066484
204,-0.5637254901960784,100,-115,0.0001540014622514022
205,-0.5658536585365853,1,-116,0.00016053643788730302
206,-0.5631067961165048,100,-116,0.00016053612339625247
207,-0.5652173913043478,1,-117,0.00016746969713459433
208,-0.5673076923076923,1,-118,0.00017479557403688332
209,-0.5645933014354066,100,-118,0.0001747953604378639
210,-0.5619047619047619,100,-118,0.00017479505168550722
211,-0.5639810426540285,16,-119,0.00018051927944110944
212,-0.5613207547169812,100,-119,0.0001805192482665319
213,-0.5586854460093896,100,-119,0.00018051921490841623
214,-0.5607476635514018,25,-120,0.00018223215066434314
215,-0.5581395348837209,100,-120,0.0001822321190758095
216,-0.5555555555555556,100,-120,0.0001822320804406204
217,-0.5529953917050692,100,-120,0.00018223162814961485
218,-0.5504587155963303,100,-120,0.00018223160090072394
219,-0.5525114155251142,30,-121,0.00018441819083741114
220,-0.5545454545454546,44,-122,0.0001905555046573028
221,-0.5520361990950227,100,-122,0.00019055526589077803
222,-0.5495495495495496,100,-122,0.0001905552380678153
223,-0.547085201793722,100,-122,0.00019055480355672155
