Episode,Avg Reward,Steps,Total Reward
1,-1.0,40,-1
2,-1.0,63,-2
3,-1.0,67,-3
4,-1.0,26,-4
5,-1.0,164,-5
6,-1.0,175,-6
7,-1.0,50,-7
8,-1.0,286,-8
9,-1.0,359,-9
10,-1.0,623,-10
11,-1.0,85,-11
12,-0.9166666666666666,1000,-11
13,-0.9230769230769231,336,-12
14,-0.9285714285714286,471,-13
15,-0.9333333333333333,571,-14
16,-0.9375,18,-15
17,-0.9411764705882353,627,-16
18,-0.9444444444444444,489,-17
19,-0.9473684210526315,749,-18
20,-0.95,361,-19
21,-0.9523809523809523,176,-20
22,-0.9090909090909091,1000,-20
23,-0.9130434782608695,262,-21
24,-0.9166666666666666,34,-22
25,-0.88,1000,-22
26,-0.8846153846153846,660,-23
27,-0.8888888888888888,163,-24
28,-0.8928571428571429,609,-25
29,-0.8620689655172413,1000,-25
30,-0.8666666666666667,44,-26
31,-0.8709677419354839,675,-27
32,-0.875,422,-28
33,-0.8787878787878788,200,-29
34,-0.8823529411764706,69,-30
35,-0.8571428571428571,1000,-30
36,-0.8611111111111112,508,-31
37,-0.8378378378378378,1000,-31
38,-0.8157894736842105,1000,-31
39,-0.8205128205128205,461,-32
40,-0.825,26,-33
41,-0.8048780487804879,1000,-33
42,-0.8095238095238095,474,-34
43,-0.813953488372093,192,-35
44,-0.8181818181818182,377,-36
45,-0.8222222222222222,133,-37
46,-0.8260869565217391,912,-38
47,-0.8297872340425532,616,-39
48,-0.8125,1000,-39
49,-0.7959183673469388,1000,-39
50,-0.78,1000,-39
51,-0.7843137254901961,379,-40
52,-0.7884615384615384,37,-41
53,-0.7735849056603774,1000,-41
54,-0.7777777777777778,876,-42
55,-0.7818181818181819,24,-43
56,-0.7857142857142857,327,-44
57,-0.7894736842105263,315,-45
58,-0.7931034482758621,54,-46
59,-0.7966101694915254,657,-47
60,-0.8,188,-48
61,-0.7868852459016393,1000,-48
62,-0.7741935483870968,1000,-48
63,-0.7777777777777778,278,-49
64,-0.78125,74,-50
65,-0.7846153846153846,589,-51
66,-0.7727272727272727,1000,-51
67,-0.7761194029850746,312,-52
68,-0.7647058823529411,1000,-52
69,-0.7681159420289855,348,-53
70,-0.7571428571428571,1000,-53
71,-0.7605633802816901,572,-54
72,-0.7638888888888888,80,-55
73,-0.7671232876712328,74,-56
74,-0.7567567567567568,1000,-56
75,-0.76,429,-57
76,-0.7631578947368421,977,-58
77,-0.7662337662337663,753,-59
78,-0.7692307692307693,59,-60
79,-0.759493670886076,1000,-60
80,-0.75,1000,-60
81,-0.7530864197530864,310,-61
82,-0.7439024390243902,1000,-61
83,-0.7469879518072289,586,-62
84,-0.75,255,-63
85,-0.7529411764705882,780,-64
86,-0.7558139534883721,114,-65
87,-0.7586206896551724,98,-66
88,-0.75,1000,-66
89,-0.7415730337078652,1000,-66
90,-0.7444444444444445,273,-67
91,-0.7472527472527473,234,-68
92,-0.75,344,-69
93,-0.7526881720430108,141,-70
94,-0.7446808510638298,1000,-70
95,-0.7473684210526316,141,-71
96,-0.75,632,-72
97,-0.7525773195876289,156,-73
98,-0.7551020408163265,357,-74
99,-0.7575757575757576,312,-75
100,-0.76,74,-76
101,-0.7524752475247525,1000,-76
102,-0.7450980392156863,1000,-76
103,-0.7378640776699029,1000,-76
104,-0.7403846153846154,253,-77
105,-0.7428571428571429,872,-78
106,-0.7452830188679245,170,-79
107,-0.7476635514018691,39,-80
108,-0.75,383,-81
109,-0.7522935779816514,20,-82
110,-0.7545454545454545,110,-83
111,-0.7567567567567568,169,-84
112,-0.7410714285714286,90,-83
113,-0.7256637168141593,42,-82
114,-0.7105263157894737,60,-81
115,-0.6956521739130435,280,-80
116,-0.6810344827586207,52,-79
117,-0.6666666666666666,13,-78
118,-0.652542372881356,20,-77
119,-0.6386554621848739,40,-76
120,-0.625,78,-75
121,-0.6115702479338843,13,-74
122,-0.5983606557377049,61,-73
123,-0.5853658536585366,31,-72
124,-0.5725806451612904,107,-71
125,-0.576,14,-72
126,-0.5634920634920635,45,-71
127,-0.5511811023622047,10,-70
128,-0.5390625,8,-69
129,-0.5271317829457365,7,-68
130,-0.5307692307692308,7,-69
131,-0.5343511450381679,4,-70
132,-0.5227272727272727,6,-69
133,-0.5112781954887218,8,-68
134,-0.5,6,-67
135,-0.4888888888888889,16,-66
136,-0.47794117647058826,6,-65
137,-0.48175182481751827,5,-66
138,-0.47101449275362317,6,-65
139,-0.460431654676259,6,-64
140,-0.45,6,-63
141,-0.4397163120567376,6,-62
142,-0.4295774647887324,7,-61
143,-0.4195804195804196,6,-60
144,-0.4097222222222222,6,-59
145,-0.4,6,-58
146,-0.4041095890410959,4,-59
147,-0.3945578231292517,6,-58
148,-0.38513513513513514,6,-57
149,-0.37583892617449666,13,-56
150,-0.36666666666666664,6,-55
151,-0.3708609271523179,13,-56
152,-0.3618421052631579,8,-55
153,-0.35294117647058826,6,-54
154,-0.34415584415584416,7,-53
155,-0.33548387096774196,6,-52
156,-0.3269230769230769,8,-51
157,-0.3184713375796178,8,-50
158,-0.310126582278481,6,-49
159,-0.3018867924528302,6,-48
160,-0.29375,6,-47
161,-0.2857142857142857,17,-46
162,-0.2777777777777778,6,-45
163,-0.2822085889570552,4,-46
164,-0.27439024390243905,6,-45
165,-0.26666666666666666,12,-44
166,-0.25903614457831325,6,-43
167,-0.25149700598802394,6,-42
168,-0.24404761904761904,6,-41
169,-0.23668639053254437,6,-40
170,-0.22941176470588234,8,-39
171,-0.2222222222222222,6,-38
172,-0.22674418604651161,8,-39
173,-0.21965317919075145,8,-38
174,-0.21264367816091953,6,-37
175,-0.2057142857142857,6,-36
176,-0.19886363636363635,6,-35
177,-0.192090395480226,8,-34
178,-0.1853932584269663,6,-33
179,-0.1787709497206704,6,-32
180,-0.17222222222222222,14,-31
181,-0.16574585635359115,6,-30
182,-0.15934065934065933,14,-29
183,-0.15300546448087432,6,-28
184,-0.14673913043478262,6,-27
185,-0.14054054054054055,6,-26
186,-0.13440860215053763,6,-25
187,-0.13903743315508021,6,-26
188,-0.13297872340425532,6,-25
189,-0.12698412698412698,8,-24
190,-0.12105263157894737,6,-23
191,-0.11518324607329843,6,-22
192,-0.109375,6,-21
193,-0.10362694300518134,6,-20
194,-0.0979381443298969,6,-19
195,-0.09230769230769231,8,-18
196,-0.08673469387755102,15,-17
197,-0.08121827411167512,10,-16
198,-0.08585858585858586,5,-17
199,-0.08040201005025126,7,-16
200,-0.075,9,-15
201,-0.06965174129353234,8,-14
202,-0.06435643564356436,6,-13
203,-0.059113300492610835,6,-12
204,-0.05392156862745098,6,-11
205,-0.05853658536585366,4,-12
206,-0.05339805825242718,6,-11
207,-0.04830917874396135,7,-10
208,-0.052884615384615384,5,-11
209,-0.04784688995215311,6,-10
210,-0.04285714285714286,6,-9
211,-0.04739336492890995,4,-10
212,-0.04245283018867924,7,-9
213,-0.03755868544600939,6,-8
214,-0.04205607476635514,5,-9
215,-0.037209302325581395,6,-8
216,-0.032407407407407406,6,-7
217,-0.027649769585253458,9,-6
218,-0.022935779816513763,6,-5
219,-0.0273972602739726,4,-6
220,-0.022727272727272728,6,-5
221,-0.01809954751131222,6,-4
222,-0.013513513513513514,8,-3
223,-0.008968609865470852,6,-2
224,-0.004464285714285714,6,-1
225,0.0,6,0
226,0.004424778761061947,6,1
227,0.00881057268722467,7,2
228,0.013157894736842105,6,3
229,0.017467248908296942,6,4
230,0.021739130434782608,6,5
231,0.025974025974025976,6,6
232,0.03017241379310345,6,7
233,0.034334763948497854,6,8
234,0.038461538461538464,6,9
235,0.0425531914893617,6,10
236,0.046610169491525424,6,11
237,0.05063291139240506,6,12
238,0.0546218487394958,6,13
239,0.058577405857740586,7,14
240,0.0625,6,15
241,0.06639004149377593,6,16
242,0.07024793388429752,6,17
243,0.07407407407407407,6,18
244,0.0778688524590164,8,19
245,0.08163265306122448,6,20
246,0.08536585365853659,6,21
247,0.08906882591093117,6,22
248,0.09274193548387097,6,23
