Episode,Avg Reward,Steps,Total Reward
203,-0.9901477832512315,35,-201
204,-0.9901960784313726,16,-202
205,-0.9902439024390244,10,-203
206,-0.9902912621359223,4,-204
207,-0.9903381642512077,62,-205
208,-0.9903846153846154,7,-206
209,-0.9904306220095693,5,-207
210,-0.9904761904761905,24,-208
211,-0.990521327014218,8,-209
212,-0.9905660377358491,16,-210
213,-0.9906103286384976,7,-211
214,-0.9906542056074766,34,-212
215,-0.9906976744186047,5,-213
216,-0.9907407407407407,34,-214
217,-0.9907834101382489,1,-215
218,-0.9908256880733946,67,-216
219,-0.9908675799086758,51,-217
220,-0.990909090909091,8,-218
221,-0.9909502262443439,31,-219
222,-0.990990990990991,18,-220
223,-0.9910313901345291,3,-221
224,-0.9910714285714286,2,-222
225,-0.9911111111111112,9,-223
226,-0.9911504424778761,1,-224
227,-0.9911894273127754,1,-225
228,-0.9912280701754386,23,-226
229,-0.9912663755458515,22,-227
230,-0.991304347826087,18,-228
231,-0.9913419913419913,56,-229
232,-0.9913793103448276,29,-230
233,-0.9914163090128756,4,-231
234,-0.9914529914529915,20,-232
235,-0.9914893617021276,11,-233
236,-0.9915254237288136,14,-234
237,-0.9915611814345991,20,-235
238,-0.9915966386554622,9,-236
239,-0.9916317991631799,1,-237
240,-0.9916666666666667,14,-238
241,-0.991701244813278,45,-239
242,-0.9917355371900827,2,-240
243,-0.9917695473251029,25,-241
244,-0.9918032786885246,12,-242
245,-0.9918367346938776,5,-243
246,-0.991869918699187,13,-244
247,-0.9919028340080972,5,-245
248,-0.9919354838709677,4,-246
249,-0.9919678714859438,22,-247
250,-0.992,19,-248
251,-0.9920318725099602,8,-249
252,-0.9920634920634921,3,-250
253,-0.9920948616600791,12,-251
254,-0.9921259842519685,1,-252
255,-0.9921568627450981,20,-253
256,-0.9921875,26,-254
257,-0.9922178988326849,9,-255
258,-0.9922480620155039,15,-256
259,-0.9922779922779923,37,-257
260,-0.9923076923076923,6,-258
261,-0.9923371647509579,56,-259
262,-0.9923664122137404,82,-260
263,-0.9923954372623575,18,-261
264,-0.9924242424242424,10,-262
265,-0.9924528301886792,1,-263
266,-0.9924812030075187,17,-264
267,-0.9925093632958801,23,-265
268,-0.9925373134328358,12,-266
269,-0.9925650557620818,39,-267
270,-0.9925925925925926,3,-268
271,-0.992619926199262,30,-269
272,-0.9926470588235294,5,-270
273,-0.9926739926739927,71,-271
274,-0.9927007299270073,22,-272
275,-0.9927272727272727,10,-273
276,-0.9927536231884058,3,-274
277,-0.9927797833935018,10,-275
278,-0.9928057553956835,9,-276
279,-0.992831541218638,28,-277
280,-0.9928571428571429,7,-278
281,-0.9928825622775801,2,-279
282,-0.9929078014184397,20,-280
283,-0.9929328621908127,27,-281
284,-0.9929577464788732,24,-282
285,-0.9929824561403509,30,-283
286,-0.993006993006993,19,-284
287,-0.9930313588850174,1,-285
