Episode,Avg Reward,Steps,Total Reward
1,-1.0,11,-1
2,-1.0,4,-2
3,-1.0,4,-3
4,-1.0,11,-4
5,-1.0,20,-5
6,-1.0,12,-6
7,-1.0,3,-7
8,-1.0,4,-8
9,-0.7777777777777778,8,-7
10,-0.8,5,-8
11,-0.8181818181818182,15,-9
12,-0.6666666666666666,13,-8
13,-0.6923076923076923,17,-9
14,-0.5714285714285714,6,-8
15,-0.6,3,-9
16,-0.625,11,-10
17,-0.6470588235294118,18,-11
18,-0.6666666666666666,52,-12
19,-0.631578947368421,100,-12
20,-0.65,81,-13
21,-0.6666666666666666,35,-14
22,-0.6818181818181818,45,-15
23,-0.6956521739130435,40,-16
24,-0.7083333333333334,12,-17
25,-0.72,22,-18
26,-0.7307692307692307,12,-19
27,-0.7407407407407407,15,-20
28,-0.75,23,-21
29,-0.7586206896551724,19,-22
30,-0.7666666666666667,7,-23
31,-0.7741935483870968,19,-24
32,-0.78125,30,-25
33,-0.7878787878787878,54,-26
34,-0.7941176470588235,44,-27
35,-0.8,29,-28
36,-0.8055555555555556,42,-29
37,-0.8108108108108109,3,-30
38,-0.8157894736842105,17,-31
39,-0.8205128205128205,25,-32
40,-0.825,61,-33
41,-0.8292682926829268,49,-34
42,-0.8333333333333334,57,-35
43,-0.813953488372093,100,-35
44,-0.8181818181818182,2,-36
45,-0.8222222222222222,24,-37
46,-0.8260869565217391,22,-38
47,-0.8297872340425532,35,-39
48,-0.8333333333333334,53,-40
49,-0.8367346938775511,35,-41
50,-0.84,14,-42
51,-0.8431372549019608,48,-43
52,-0.8461538461538461,12,-44
53,-0.8490566037735849,8,-45
54,-0.8518518518518519,45,-46
55,-0.8545454545454545,12,-47
56,-0.8571428571428571,22,-48
57,-0.8596491228070176,58,-49
58,-0.8620689655172413,9,-50
59,-0.864406779661017,63,-51
60,-0.8666666666666667,27,-52
61,-0.8688524590163934,19,-53
62,-0.8709677419354839,16,-54
63,-0.873015873015873,22,-55
64,-0.875,27,-56
65,-0.8769230769230769,33,-57
66,-0.8787878787878788,56,-58
67,-0.8805970149253731,36,-59
68,-0.8823529411764706,62,-60
69,-0.8840579710144928,23,-61
70,-0.8857142857142857,34,-62
71,-0.8873239436619719,14,-63
72,-0.8888888888888888,37,-64
73,-0.8904109589041096,35,-65
74,-0.8918918918918919,39,-66
75,-0.8933333333333333,8,-67
76,-0.8947368421052632,43,-68
77,-0.8961038961038961,21,-69
78,-0.8974358974358975,10,-70
79,-0.8987341772151899,20,-71
80,-0.875,8,-70
81,-0.8765432098765432,57,-71
82,-0.8658536585365854,100,-71
83,-0.8674698795180723,65,-72
84,-0.8690476190476191,35,-73
85,-0.8588235294117647,100,-73
86,-0.8372093023255814,27,-72
87,-0.8390804597701149,8,-73
88,-0.8181818181818182,15,-72
89,-0.8202247191011236,8,-73
90,-0.8222222222222222,50,-74
91,-0.8021978021978022,12,-73
92,-0.782608695652174,15,-72
93,-0.7634408602150538,9,-71
94,-0.7659574468085106,19,-72
95,-0.7473684210526316,30,-71
96,-0.75,5,-72
97,-0.7525773195876289,11,-73
98,-0.7551020408163265,6,-74
99,-0.7474747474747475,100,-74
100,-0.75,68,-75
101,-0.7524752475247525,40,-76
102,-0.7352941176470589,41,-75
103,-0.7184466019417476,65,-74
104,-0.7211538461538461,11,-75
105,-0.7047619047619048,10,-74
106,-0.6886792452830188,18,-73
107,-0.6728971962616822,6,-72
108,-0.6574074074074074,42,-71
109,-0.6605504587155964,33,-72
110,-0.6636363636363637,4,-73
111,-0.6666666666666666,19,-74
112,-0.6517857142857143,24,-73
113,-0.6371681415929203,18,-72
114,-0.6403508771929824,9,-73
115,-0.6434782608695652,14,-74
116,-0.6293103448275862,38,-73
117,-0.6324786324786325,6,-74
118,-0.6186440677966102,30,-73
119,-0.6050420168067226,29,-72
120,-0.5916666666666667,61,-71
121,-0.5785123966942148,9,-70
122,-0.5819672131147541,8,-71
123,-0.5691056910569106,6,-70
124,-0.5564516129032258,14,-69
125,-0.544,7,-68
126,-0.5317460317460317,13,-67
127,-0.5196850393700787,6,-66
128,-0.5078125,9,-65
129,-0.5116279069767442,2,-66
130,-0.5,6,-65
131,-0.5038167938931297,4,-66
132,-0.49242424242424243,11,-65
133,-0.48120300751879697,8,-64
134,-0.48507462686567165,6,-65
135,-0.4740740740740741,9,-64
136,-0.47794117647058826,6,-65
137,-0.48175182481751827,10,-66
138,-0.47101449275362317,17,-65
139,-0.4748201438848921,2,-66
140,-0.4642857142857143,10,-65
141,-0.46808510638297873,6,-66
142,-0.45774647887323944,12,-65
143,-0.44755244755244755,7,-64
144,-0.4375,10,-63
145,-0.42758620689655175,6,-62
146,-0.4315068493150685,5,-63
147,-0.4217687074829932,7,-62
148,-0.41216216216216217,10,-61
149,-0.4161073825503356,6,-62
150,-0.4066666666666667,6,-61
151,-0.4105960264900662,5,-62
152,-0.4144736842105263,11,-63
153,-0.41830065359477125,4,-64
154,-0.4090909090909091,9,-63
155,-0.4,7,-62
156,-0.40384615384615385,8,-63
157,-0.39490445859872614,6,-62
158,-0.3860759493670886,7,-61
159,-0.37735849056603776,7,-60
160,-0.36875,11,-59
161,-0.36024844720496896,6,-58
162,-0.36419753086419754,3,-59
163,-0.36809815950920244,3,-60
164,-0.3719512195121951,4,-61
165,-0.36363636363636365,7,-60
166,-0.35542168674698793,10,-59
167,-0.3473053892215569,9,-58
168,-0.3392857142857143,6,-57
169,-0.33136094674556216,6,-56
170,-0.3235294117647059,12,-55
171,-0.3157894736842105,6,-54
172,-0.3081395348837209,9,-53
173,-0.30057803468208094,6,-52
174,-0.3045977011494253,5,-53
175,-0.29714285714285715,6,-52
176,-0.30113636363636365,7,-53
177,-0.2937853107344633,6,-52
178,-0.29775280898876405,3,-53
179,-0.3016759776536313,5,-54
180,-0.3055555555555556,4,-55
