Episode,Avg Reward,Steps,Total Reward
226,-0.9557522123893806,100,-216
227,-0.9559471365638766,44,-217
228,-0.956140350877193,1,-218
229,-0.9563318777292577,23,-219
230,-0.9565217391304348,6,-220
231,-0.9567099567099567,43,-221
232,-0.9568965517241379,8,-222
233,-0.9570815450643777,3,-223
234,-0.9572649572649573,7,-224
235,-0.9531914893617022,100,-224
236,-0.9491525423728814,100,-224
237,-0.9493670886075949,72,-225
238,-0.9495798319327731,65,-226
239,-0.9497907949790795,22,-227
240,-0.95,47,-228
241,-0.950207468879668,1,-229
242,-0.9504132231404959,46,-230
243,-0.9465020576131687,100,-230
244,-0.9467213114754098,3,-231
245,-0.9469387755102041,29,-232
246,-0.943089430894309,100,-232
247,-0.9433198380566802,15,-233
248,-0.9435483870967742,33,-234
249,-0.9437751004016064,20,-235
250,-0.944,93,-236
251,-0.9442231075697212,51,-237
252,-0.9444444444444444,43,-238
253,-0.9446640316205533,26,-239
254,-0.9448818897637795,3,-240
255,-0.9450980392156862,43,-241
256,-0.9453125,58,-242
257,-0.9455252918287937,5,-243
258,-0.9457364341085271,90,-244
259,-0.9459459459459459,96,-245
260,-0.9461538461538461,9,-246
261,-0.946360153256705,5,-247
262,-0.9465648854961832,8,-248
263,-0.9467680608365019,89,-249
264,-0.946969696969697,89,-250
265,-0.9471698113207547,1,-251
266,-0.9473684210526315,23,-252
267,-0.947565543071161,17,-253
268,-0.9477611940298507,17,-254
269,-0.9479553903345725,55,-255
270,-0.9481481481481482,50,-256
271,-0.948339483394834,66,-257
272,-0.9485294117647058,47,-258
273,-0.9487179487179487,50,-259
274,-0.948905109489051,81,-260
275,-0.9490909090909091,54,-261
276,-0.9492753623188406,3,-262
277,-0.9494584837545126,33,-263
278,-0.9496402877697842,31,-264
279,-0.9498207885304659,14,-265
280,-0.95,30,-266
281,-0.9501779359430605,39,-267
282,-0.950354609929078,7,-268
283,-0.950530035335689,22,-269
284,-0.9507042253521126,13,-270
285,-0.9508771929824561,9,-271
286,-0.951048951048951,4,-272
287,-0.9512195121951219,96,-273
288,-0.9513888888888888,80,-274
289,-0.9515570934256056,56,-275
290,-0.9517241379310345,27,-276
291,-0.9518900343642611,66,-277
292,-0.952054794520548,8,-278
293,-0.9522184300341296,57,-279
294,-0.9523809523809523,15,-280
295,-0.9525423728813559,85,-281
296,-0.9527027027027027,17,-282
297,-0.9528619528619529,29,-283
298,-0.9496644295302014,100,-283
299,-0.9498327759197325,18,-284
300,-0.9466666666666667,100,-284
301,-0.946843853820598,26,-285
302,-0.9470198675496688,28,-286
303,-0.9471947194719472,1,-287
304,-0.9473684210526315,41,-288
305,-0.9475409836065574,66,-289
306,-0.9477124183006536,71,-290
307,-0.9446254071661238,100,-290
308,-0.9448051948051948,27,-291
309,-0.9449838187702265,20,-292
310,-0.9451612903225807,20,-293
311,-0.9453376205787781,69,-294
312,-0.9455128205128205,39,-295
313,-0.9424920127795527,100,-295
314,-0.9426751592356688,9,-296
315,-0.9428571428571428,12,-297
316,-0.9430379746835443,39,-298
317,-0.9400630914826499,100,-298
318,-0.940251572327044,13,-299
319,-0.9404388714733543,28,-300
320,-0.9375,100,-300
321,-0.9376947040498442,27,-301
322,-0.937888198757764,28,-302
323,-0.9380804953560371,1,-303
324,-0.9382716049382716,4,-304
325,-0.9384615384615385,26,-305
326,-0.9386503067484663,92,-306
327,-0.9388379204892966,4,-307
328,-0.9390243902439024,38,-308
329,-0.939209726443769,71,-309
330,-0.9393939393939394,6,-310
331,-0.9395770392749244,1,-311
332,-0.9397590361445783,58,-312
333,-0.93993993993994,92,-313
334,-0.9401197604790419,61,-314
335,-0.9402985074626866,1,-315
336,-0.9404761904761905,10,-316
337,-0.9376854599406528,100,-316
338,-0.9378698224852071,59,-317
339,-0.9380530973451328,55,-318
340,-0.9382352941176471,2,-319
341,-0.9354838709677419,100,-319
342,-0.935672514619883,10,-320
343,-0.9358600583090378,40,-321
344,-0.9331395348837209,100,-321
345,-0.9333333333333333,21,-322
346,-0.9335260115606936,37,-323
347,-0.9337175792507204,8,-324
348,-0.9339080459770115,73,-325
349,-0.9340974212034384,47,-326
350,-0.9342857142857143,24,-327
351,-0.9316239316239316,100,-327
352,-0.9318181818181818,5,-328
353,-0.9320113314447592,4,-329
354,-0.9322033898305084,19,-330
355,-0.9323943661971831,7,-331
356,-0.9325842696629213,72,-332
357,-0.9327731092436975,5,-333
358,-0.9329608938547486,69,-334
359,-0.9331476323119777,40,-335
360,-0.9305555555555556,100,-335
361,-0.9307479224376731,11,-336
362,-0.930939226519337,28,-337
363,-0.931129476584022,1,-338
364,-0.9285714285714286,100,-338
365,-0.9287671232876712,19,-339
366,-0.9289617486338798,9,-340
367,-0.9291553133514986,36,-341
368,-0.9293478260869565,1,-342
369,-0.9295392953929539,55,-343
370,-0.927027027027027,100,-343
