Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,7,-1,1e-06
2,-1.0,3,-2,2e-06
3,-1.0,10,-3,3e-06
4,-1.0,15,-4,4e-06
5,-1.0,28,-5,5e-06
6,-1.0,24,-6,6e-06
7,-1.0,23,-7,8.960109e-06
8,-1.0,17,-8,9.960109000000001e-06
9,-1.0,11,-9,1.2920218000000003e-05
10,-1.0,29,-10,1.5880327e-05
11,-1.0,34,-11,1.6880326820981e-05
12,-1.0,18,-12,1.9840435641957678e-05
13,-0.9230769230769231,100,-12,1.9840435284149667e-05
14,-0.9285714285714286,2,-13,2.4701864935049665e-05
15,-0.9333333333333333,90,-14,2.570186475976097e-05
16,-0.9375,54,-15,2.670186387883165e-05
17,-0.9411764705882353,83,-16,3.156329315438043e-05
18,-0.8888888888888888,100,-16,3.156329227053177e-05
19,-0.8947368421052632,41,-17,3.256329210236836e-05
20,-0.9,39,-18,3.5523400241978996e-05
21,-0.9047619047619048,38,-19,3.652339991511129e-05
22,-0.9090909090909091,99,-20,3.752339820941601e-05
23,-0.9130434782608695,13,-21,3.852339805466858e-05
24,-0.9166666666666666,29,-22,4.522872753089641e-05
25,-0.88,100,-22,4.5228725873043585e-05
26,-0.8846153846153846,31,-23,4.8188834078692805e-05
27,-0.8888888888888888,89,-24,4.9188831775181443e-05
28,-0.8928571428571429,85,-25,5.018883103673313e-05
29,-0.896551724137931,58,-26,5.31489397189178e-05
30,-0.9,48,-27,5.610904857503508e-05
31,-0.8709677419354839,100,-27,5.610904828136566e-05
32,-0.84375,100,-27,5.610904755555517e-05
33,-0.8484848484848485,76,-28,6.0970476717451675e-05
34,-0.8235294117647058,100,-28,6.097047524229691e-05
35,-0.8285714285714286,4,-29,6.583193495881358e-05
36,-0.8333333333333334,1,-30,7.432494276765748e-05
37,-0.8378378378378378,5,-31,8.103036487759824e-05
38,-0.8421052631578947,7,-32,8.952383916362931e-05
39,-0.8205128205128205,100,-32,8.952379798157759e-05
40,-0.8,100,-32,8.952378351741306e-05
41,-0.8048780487804879,60,-33,9.24838775286569e-05
42,-0.7857142857142857,100,-33,9.248382879556115e-05
43,-0.7674418604651163,100,-33,9.248378338119856e-05
44,-0.75,100,-33,9.248376669508214e-05
45,-0.7555555555555555,29,-34,9.544386459838044e-05
46,-0.7608695652173914,16,-35,0.00010567069450727523
47,-0.7659574468085106,57,-36,0.00011589695461367212
48,-0.7708333333333334,43,-37,0.00011689691529765054
49,-0.7551020408163265,100,-37,0.00011689688206796159
50,-0.74,100,-37,0.00011689681526040138
51,-0.7254901960784313,100,-37,0.00011689678939259887
52,-0.7307692307692307,84,-38,0.00011789678817064658
53,-0.7358490566037735,77,-39,0.00011889678625420112
54,-0.7407407407407407,85,-40,0.00012375821462263544
55,-0.7272727272727273,100,-40,0.00012375817061150297
56,-0.7321428571428571,86,-41,0.00012475812330535582
57,-0.7192982456140351,100,-41,0.00012475811690505512
58,-0.7068965517241379,100,-41,0.00012475808382588998
59,-0.6949152542372882,100,-41,0.00012475804832003774
60,-0.6833333333333333,100,-41,0.0001247580196217275
61,-0.6721311475409836,100,-41,0.00012475795756605252
62,-0.6612903225806451,100,-41,0.00012475791961024155
63,-0.6666666666666666,64,-42,0.00012575791841202066
64,-0.671875,81,-43,0.00012675791689960298
65,-0.6615384615384615,100,-43,0.0001267579128257688
66,-0.6515151515151515,100,-43,0.00012675779245710796
67,-0.6417910447761194,100,-43,0.00012675778204978736
68,-0.6470588235294118,60,-44,0.00012775776266076873
69,-0.6376811594202898,100,-44,0.00012775775718487076
70,-0.6428571428571429,59,-45,0.00013446318373092772
71,-0.647887323943662,12,-46,0.0001354631828140871
72,-0.6527777777777778,84,-47,0.00013842328945960024
73,-0.6575342465753424,61,-48,0.00014512861813333698
74,-0.6621621621621622,38,-49,0.00014612861549863603
75,-0.6666666666666666,81,-50,0.00014712860727149384
76,-0.6710526315789473,53,-51,0.00015903473140932282
77,-0.6623376623376623,100,-51,0.00015903463506247804
78,-0.6666666666666666,100,-52,0.0001600346169899008
79,-0.6708860759493671,82,-53,0.00016103461582897224
80,-0.675,10,-54,0.00016589611339913238
81,-0.6790123456790124,53,-55,0.00017260160083942293
82,-0.6707317073170732,100,-55,0.00017260155281656933
83,-0.6626506024096386,100,-55,0.00017260151261185117
84,-0.6666666666666666,53,-56,0.00017556161367870838
