Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,6,-1,1e-06
2,-1.0,14,-2,2e-06
3,-1.0,19,-3,3e-06
4,-1.0,10,-4,4e-06
5,-1.0,22,-5,5e-06
6,-1.0,16,-6,6e-06
7,-1.0,16,-7,7e-06
8,-1.0,6,-8,9.960101e-06
9,-1.0,65,-9,1.0960101000000001e-05
10,-1.0,1,-10,1.3920200999999999e-05
11,-1.0,36,-11,1.8781598970100002e-05
12,-1.0,29,-12,1.97815989701e-05
13,-1.0,9,-13,2.0781598970100003e-05
14,-1.0,6,-14,2.3741699970100005e-05
15,-1.0,18,-15,2.6701800970100006e-05
16,-1.0,4,-16,2.9661901970100005e-05
17,-1.0,75,-17,3.452329980546988e-05
18,-1.0,17,-18,4.122855889616489e-05
19,-1.0,56,-19,4.222855862266026e-05
20,-1.0,83,-20,4.322855860391958e-05
21,-0.9523809523809523,100,-20,4.322855770027158e-05
22,-0.9545454545454546,97,-21,4.618865840472948e-05
23,-0.9130434782608695,100,-21,4.618865774275175e-05
24,-0.9166666666666666,19,-22,4.7188657603227395e-05
25,-0.92,33,-23,4.8188657467477406e-05
26,-0.8846153846153846,100,-23,4.818865723576968e-05
27,-0.8888888888888888,58,-24,4.9188657105133216e-05
28,-0.8571428571428571,100,-24,4.918865699498747e-05
29,-0.8620689655172413,15,-25,5.76816801289765e-05
30,-0.8666666666666667,62,-26,5.868168005815564e-05
31,-0.8709677419354839,64,-27,6.164178092100075e-05
32,-0.875,50,-28,6.650317875440295e-05
33,-0.8787878787878788,65,-29,7.136457665970334e-05
34,-0.8823529411764706,31,-30,7.236457659121932e-05
35,-0.8857142857142857,1,-31,8.259055364446722e-05
36,-0.8611111111111112,100,-31,8.259055305124229e-05
37,-0.8648648648648649,53,-32,8.359055283317892e-05
38,-0.868421052631579,6,-33,8.655065553828922e-05
39,-0.8461538461538461,100,-33,8.655065527766536e-05
40,-0.825,100,-33,8.655065510232565e-05
41,-0.8048780487804879,100,-33,8.655065499059852e-05
42,-0.7857142857142857,100,-33,8.655065450663207e-05
43,-0.7906976744186046,1,-34,9.845609491532233e-05
44,-0.7727272727272727,100,-34,9.845609455941301e-05
45,-0.7555555555555555,100,-34,9.845609414827485e-05
46,-0.7391304347826086,100,-34,9.845609386319938e-05
47,-0.723404255319149,100,-34,9.84560936143646e-05
48,-0.7291666666666666,33,-35,0.00010516136225092237
49,-0.7142857142857143,100,-35,0.00010516136131514931
50,-0.7,100,-35,0.00010516136080941397
51,-0.6862745098039216,100,-35,0.00010516135995958558
52,-0.6730769230769231,100,-35,0.0001051613569345313
53,-0.660377358490566,100,-35,0.00010516135651241083
54,-0.6481481481481481,100,-35,0.00010516135603221786
55,-0.6363636363636364,100,-35,0.00010516135502135787
56,-0.6428571428571429,85,-36,0.00010616135467607336
57,-0.6491228070175439,90,-37,0.00010716135379293104
58,-0.6379310344827587,100,-37,0.00010716135337532606
59,-0.6440677966101694,67,-38,0.00011012145433065525
60,-0.6333333333333333,100,-38,0.00011012145377060167
61,-0.639344262295082,1,-39,0.000123654106610973
62,-0.6451612903225806,81,-40,0.00013035937173064583
63,-0.6507936507936508,11,-41,0.00014546829055066575
64,-0.640625,100,-41,0.00014546828504876882
65,-0.6307692307692307,100,-41,0.00014546827956433904
66,-0.6212121212121212,100,-41,0.00014546827734814938
67,-0.6268656716417911,99,-42,0.00014646827518946274
68,-0.6176470588235294,100,-42,0.00014646827497385135
69,-0.6231884057971014,41,-43,0.00014942837576236538
70,-0.6285714285714286,57,-44,0.00015613364035095052
71,-0.6338028169014085,38,-45,0.00015713363957404173
72,-0.6388888888888888,60,-46,0.00016009373741905175
73,-0.6438356164383562,60,-47,0.0001630538373483492
74,-0.6486486486486487,78,-48,0.00016405383390181018
75,-0.6533333333333333,98,-49,0.00016891522740633994
76,-0.6578947368421053,76,-50,0.00017187532549605252
77,-0.6493506493506493,100,-50,0.0001718753222495521
78,-0.6538461538461539,9,-51,0.00018036837024748936
79,-0.6582278481012658,42,-52,0.00018886140731555086
80,-0.6625,37,-53,0.00019372280408089745
81,-0.654320987654321,100,-53,0.00019372280091402416
82,-0.6585365853658537,45,-54,0.00019858420858836687
83,-0.6506024096385542,100,-54,0.0001985842040160048
84,-0.6428571428571429,100,-54,0.0001985841991732411
85,-0.6352941176470588,100,-54,0.00019858419532575128
86,-0.627906976744186,100,-54,0.00019858419302511452
87,-0.632183908045977,82,-55,0.0001995841924991217
88,-0.625,100,-55,0.00019958419143649886
