Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,1,-1,1e-06
2,-1.0,4,-2,2e-06
3,-1.0,42,-3,3e-06
4,-1.0,8,-4,4e-06
5,-1.0,11,-5,5e-06
6,-1.0,12,-6,7.960104000000001e-06
7,-1.0,28,-7,8.960104000000002e-06
8,-1.0,29,-8,1.1920208e-05
9,-1.0,22,-9,1.4880312000000002e-05
10,-1.0,8,-10,1.5880312e-05
11,-1.0,38,-11,1.6880311920416e-05
12,-1.0,4,-12,2.1741721770816e-05
13,-1.0,9,-13,2.2741721770815998e-05
14,-1.0,39,-14,2.3741721691232e-05
15,-1.0,26,-15,2.4741721691232e-05
16,-1.0,15,-16,2.574172169123168e-05
17,-1.0,50,-17,2.8701825146846045e-05
18,-1.0,5,-18,2.970182514684487e-05
19,-1.0,26,-19,3.0701825067259715e-05
20,-1.0,27,-20,3.170182506725859e-05
21,-1.0,16,-21,3.466192906725717e-05
22,-1.0,17,-22,3.566192906725609e-05
23,-1.0,17,-23,3.862203306725503e-05
24,-1.0,25,-24,3.962203306725398e-05
25,-1.0,13,-25,4.0622033067252954e-05
26,-1.0,21,-26,4.1622033067251955e-05
27,-1.0,45,-27,4.262203298766666e-05
28,-1.0,3,-28,4.558213698766575e-05
29,-1.0,65,-29,4.658213698766481e-05
30,-1.0,32,-30,4.7582136987663894e-05
31,-1.0,27,-31,5.428742254732468e-05
32,-1.0,23,-32,5.7247526547322483e-05
33,-1.0,67,-33,5.8247526547320326e-05
34,-1.0,28,-34,5.924752654731821e-05
35,-1.0,86,-35,6.024752654731583e-05
36,-1.0,32,-36,6.124752654731349e-05
37,-1.0,27,-37,6.224752623851534e-05
38,-1.0,13,-38,6.324752623851338e-05
39,-1.0,39,-39,6.424752616670675e-05
40,-1.0,69,-40,6.524752608711917e-05
41,-1.0,10,-41,6.624752608711569e-05
42,-1.0,7,-42,7.110893585809463e-05
43,-1.0,1,-43,7.960194366693852e-05
44,-1.0,11,-44,8.256204766693247e-05
45,-1.0,18,-45,8.356204766692684e-05
46,-1.0,26,-46,8.652215166692134e-05
47,-1.0,54,-47,8.752215159663404e-05
48,-1.0,42,-48,8.852215143904202e-05
49,-1.0,50,-49,8.952215143903292e-05
50,-1.0,78,-50,9.248225535944037e-05
51,-1.0,95,-51,9.348225529044696e-05
52,-1.0,1,-52,0.00010370823234369487
53,-1.0,21,-53,0.0001066683363436874
54,-1.0,4,-54,0.00010962844034368059
55,-0.9818181818181818,100,-54,0.00010962844010972372
56,-0.9821428571428571,23,-55,0.00011448984988381168
57,-0.9824561403508771,68,-56,0.00011548984980892031
58,-0.9827586206896551,63,-57,0.00011844995350793899
59,-0.9830508474576272,74,-58,0.00011944995336083959
60,-0.9833333333333333,11,-59,0.00012431136325517347
61,-0.9836065573770492,93,-60,0.00012531136252097469
