Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,2,-1,0.00010000000000000002
2,-1.0,3,-2,0.000361
3,-1.0,2,-3,0.00073441
4,-1.0,4,-4,0.0011826721000000003
5,-1.0,3,-5,0.0012826721000000001
6,-1.0,2,-6,0.0017769844010000005
7,-1.0,15,-7,0.0018769844010000005
8,-1.0,1,-8,0.002395475364810001
9,-1.0,22,-9,0.002495475364810001
10,-1.0,1,-10,0.0030217412454961014
11,-1.0,4,-11,0.0032827412454961014
12,-1.0,4,-12,0.0033827412454961016
13,-1.0,1,-13,0.0039046759888518427
14,-1.0,1,-14,0.004413536572969993
15,-1.0,1,-15,0.004903197743905695
16,-1.0,2,-16,0.005369558980383612
17,-1.0,6,-17,0.005810073701148726
18,-1.0,4,-18,0.006071073701148726
19,-1.0,1,-19,0.006484376532264668
20,-1.0,3,-20,0.006869989142035162
21,-1.0,5,-21,0.007243399142035162
22,-1.0,1,-22,0.007601498940859184
23,-1.0,8,-23,0.007701498940859184
24,-1.0,3,-24,0.00803273800432557
25,-1.0,1,-25,0.00833810204951038
26,-1.0,10,-26,0.008786364149510381
27,-1.0,17,-27,0.008886364149510382
28,-1.0,1,-28,0.00916706338950941
29,-1.0,7,-29,0.009424448700968025
30,-1.0,9,-30,0.009918761001968025
31,-1.0,2,-31,0.010154260138602962
32,-1.0,2,-32,0.010369329770195375
33,-1.0,14,-33,0.010565419969611531
34,-1.0,6,-34,0.010826419969611532
35,-1.0,27,-35,0.010926419969611531
36,-1.0,14,-36,0.011187419969611532
37,-1.0,1,-37,0.011365948449182291
38,-1.0,10,-38,0.01152828239387391
39,-1.0,1,-39,0.011675726177689498
40,-1.0,10,-40,0.011775726177689499
41,-1.0,8,-41,0.0121491361776895
42,-1.0,1,-42,0.012282923602333962
43,-1.0,10,-43,0.01273118570233396
44,-1.0,6,-44,0.012852475680074426
45,-1.0,2,-45,0.012962350509444815
46,-1.0,3,-46,0.013335760509444817
47,-1.0,4,-47,0.013784022609444814
48,-1.0,4,-48,0.013883488173895375
49,-1.0,1,-49,0.013973475538494822
50,-1.0,1,-50,0.014054843535475417
51,-1.0,6,-51,0.014154843535475416
52,-1.0,6,-52,0.014415843535475417
53,-1.0,3,-53,0.014934334499285416
54,-1.0,5,-54,0.015007872985329239
55,-1.0,2,-55,0.015074306526665318
56,-1.0,3,-56,0.015134298326024066
57,-1.0,3,-57,0.015188454251293528
58,-1.0,2,-58,0.015237326861771781
59,-1.0,1,-59,0.015281419356168151
60,-1.0,18,-60,0.015321189388547301
61,-1.0,3,-61,0.015357052715500691
