Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,4,-1,1e-06
2,-1.0,19,-2,2e-06
3,-1.0,15,-3,4.960181e-06
4,-1.0,10,-4,5.9601810000000015e-06
5,-1.0,1,-5,8.920281000000001e-06
6,-1.0,4,-6,1.3781995778100002e-05
7,-1.0,20,-7,1.4781989420282087e-05
8,-1.0,12,-8,1.578198941977533e-05
9,-1.0,1,-9,2.2487239688976325e-05
10,-1.0,1,-10,3.0980247497820224e-05
11,-1.0,30,-11,4.120971246081414e-05
12,-1.0,3,-12,5.3117926923028004e-05
13,-1.0,1,-13,6.665057976339934e-05
14,-1.0,1,-14,8.17594222011031e-05
15,-1.0,20,-15,8.471954256332296e-05
16,-1.0,14,-16,8.767972179881965e-05
17,-1.0,1,-17,0.00010431493276698037
18,-1.0,30,-18,0.00010531462742031177
19,-1.0,4,-19,0.00011017665628069947
20,-1.0,4,-20,0.00011688402133071847
21,-1.0,22,-21,0.00011788394832110014
22,-1.0,31,-22,0.00012274560702927554
23,-1.0,5,-23,0.00012374560555369551
24,-1.0,10,-24,0.0001418659657358533
25,-1.0,4,-25,0.00015036387382276248
26,-1.0,33,-26,0.0001513636566671633
27,-1.0,22,-27,0.00015432383758775314
28,-1.0,27,-28,0.00015728383373590348
29,-1.0,1,-29,0.00017682699726937663
30,-1.0,8,-30,0.00017782699440268917
31,-1.0,5,-31,0.00018078702908151532
32,-1.0,2,-32,0.00020174179795481685
33,-1.0,1,-33,0.00022400741653938458
34,-1.0,13,-34,0.0002250074153062215
35,-1.0,1,-35,0.00024856743970649424
36,-1.0,11,-36,0.00024956686134245206
37,-1.0,17,-37,0.00025442789838668047
38,-1.0,7,-38,0.00027926904088369407
39,-1.0,10,-39,0.0002894964635390338
40,-1.0,1,-40,0.00031551693090239614
41,-1.0,13,-41,0.0003203786443654558
42,-1.0,1,-42,0.000347567190815055
43,-1.0,1,-43,0.0003758837127132074
44,-1.0,18,-44,0.00038259046627780194
45,-1.0,10,-45,0.0003910846109113248
46,-1.0,3,-46,0.0003940455348948181
47,-1.0,7,-47,0.0004235303980442981
48,-1.0,14,-48,0.0004283910416624431
49,-1.0,11,-49,0.0004313510870776519
50,-1.0,7,-50,0.00044158280219268586
51,-1.0,19,-51,0.000453502067802548
52,-1.0,7,-52,0.0004654148288909577
53,-1.0,7,-53,0.00047896243228076916
54,-1.0,14,-54,0.0004940750637788334
