Episode,Avg Reward,Steps,Total Reward,Q-MSE
1,-1.0,7,-1,1e-06
2,-1.0,8,-2,2e-06
3,-1.0,1,-3,4.960100000000001e-06
4,-1.0,6,-4,5.960100000000001e-06
5,-1.0,3,-5,8.920281000000001e-06
6,-1.0,8,-6,1.1880462000000002e-05
7,-1.0,14,-7,1.6742175172761e-05
8,-1.0,6,-8,2.1603889950730436e-05
9,-1.0,40,-9,2.8309846836249984e-05
10,-1.0,3,-10,2.9309840630167405e-05
11,-1.0,9,-11,3.030982054600941e-05
12,-1.0,12,-12,3.7016697674599434e-05
13,-1.0,1,-13,4.550970548344333e-05
14,-1.0,5,-14,4.650970401016512e-05
15,-1.0,38,-15,4.750965468163087e-05
16,-1.0,7,-16,5.0470573509158115e-05
17,-1.0,20,-17,6.069854077678505e-05
18,-1.0,1,-18,7.260398118547533e-05
19,-1.0,7,-19,8.110181106368957e-05
20,-1.0,9,-20,8.596383418495805e-05
21,-1.0,32,-21,8.696379457918054e-05
22,-1.0,7,-22,9.367107369057806e-05
23,-1.0,13,-23,0.00010390644838096532
24,-1.0,22,-24,0.00010490639693654142
25,-1.0,6,-25,0.0001097724021823418
26,-1.0,1,-26,0.00012330505502271312
27,-1.0,1,-27,0.0001384138974604169
28,-1.0,2,-28,0.00015505792946731562
29,-1.0,9,-29,0.00015605750509759992
30,-1.0,7,-30,0.00015705709803327426
31,-1.0,12,-31,0.00015805670212262705
32,-1.0,5,-32,0.0001665509203881619
33,-1.0,2,-33,0.00018468737196471226
34,-1.0,27,-34,0.00018764678050694713
35,-1.0,4,-35,0.0001943597708672045
36,-1.0,8,-36,0.00020459211987681631
37,-1.0,9,-37,0.00020559194807612792
38,-1.0,20,-38,0.0002065914095474749
39,-1.0,6,-39,0.00021509660250438218
40,-1.0,69,-40,0.00021609584674123363
41,-1.0,3,-41,0.000228013683201656
42,-1.0,4,-42,0.0002382579440868847
43,-1.0,14,-43,0.000250165650669785
44,-1.0,5,-44,0.0002531254625525371
45,-1.0,3,-45,0.00026667874111028963
46,-1.0,25,-46,0.0002862639120715462
47,-1.0,48,-47,0.00028726125108868806
48,-1.0,27,-48,0.00028826022835512635
49,-1.0,1,-49,0.0003091872526777156
50,-1.0,16,-50,0.00031018517681432196
51,-1.0,74,-51,0.00033246588497977354
52,-1.0,21,-52,0.00033542545331834926
53,-1.0,7,-53,0.00035903248543007267
54,-1.0,6,-54,0.00038392492448519907
55,-1.0,42,-55,0.00038491773997169224
56,-1.0,1,-56,0.00041093820733505463
57,-1.0,10,-57,0.0004228672284650871
58,-1.0,8,-58,0.0004500803644449789
59,-1.0,1,-59,0.0004783968863431313
60,-1.0,43,-60,0.00048135582323537206
61,-1.0,20,-61,0.00048235136809562164
62,-1.0,4,-62,0.0004959180814992647
63,-1.0,22,-63,0.000496915695626325
64,-1.0,7,-64,0.0005104885279016591
65,-1.0,16,-65,0.0005256061430911748
66,-1.0,3,-66,0.0005407449507552839
67,-1.0,44,-67,0.0005417382238562406
68,-1.0,39,-68,0.0005427259660231166
69,-1.0,18,-69,0.000559413590721275
70,-1.0,22,-70,0.0005604091505038262
71,-1.0,3,-71,0.0005899461801059994
72,-1.0,25,-72,0.0005929029402851403
73,-1.0,1,-73,0.0006233589478492201
74,-1.0,17,-74,0.0006400324133354281
75,-1.0,9,-75,0.0006410294176177957
76,-1.0,16,-76,0.0006420250784296471
77,-1.0,48,-77,0.0006449831373742755
78,-1.0,3,-78,0.0006766473218763638
79,-1.0,8,-79,0.0006918077990342138
80,-1.0,1,-80,0.0007242542081271641
81,-1.0,4,-81,0.0007424266425708183
82,-1.0,30,-82,0.0007434193932574737
83,-1.0,9,-83,0.0007482786414432633
84,-1.0,10,-84,0.0007512349872484728
85,-1.0,1,-85,0.0007846229413677607
86,-1.0,12,-86,0.0007875791629658271
87,-1.0,6,-87,0.0007942831562013673
88,-1.0,48,-88,0.0007972237655304731
89,-1.0,5,-89,0.0008168448171761428
90,-1.0,25,-90,0.0008216988036801433
91,-1.0,15,-91,0.0008383973570596576
92,-1.0,3,-92,0.000872827032649132
93,-1.0,5,-93,0.0008910261716602243
94,-1.0,47,-94,0.0008994978600942265
95,-1.0,8,-95,0.0009205224305341638
96,-1.0,18,-96,0.0009387201137211006
97,-1.0,3,-97,0.0009741693072903347
98,-1.0,19,-98,0.000978997852337731
99,-1.0,55,-99,0.0009799914737875215
100,-1.0,4,-100,0.001016108453009475
101,-1.0,27,-101,0.0010228041177202198
102,-1.0,40,-102,0.0010257546079368554
103,-1.0,38,-103,0.0010453132192330065
104,-1.0,30,-104,0.0010463090651928243
105,-1.0,2,-105,0.001083323599232971
106,-1.0,12,-106,0.001088172597537942
107,-1.0,63,-107,0.0010948715489613953
108,-0.9814814814814815,58,-106,0.0010958578207308377
109,-0.981651376146789,11,-107,0.0010988102545318175
110,-0.9818181818181818,19,-108,0.0011017626291823588
111,-0.9819819819819819,5,-109,0.0011119898358674448
112,-0.9821428571428571,21,-110,0.0011168439229736092
113,-0.9823008849557522,1,-111,0.001154437141121381
114,-0.9824561403508771,11,-112,0.0011663496908165443
115,-0.9826086956521739,7,-113,0.0011860130982667672
116,-0.9827586206896551,40,-114,0.0011944989782933985
117,-0.9829059829059829,1,-115,0.0012328384355886927
118,-0.9830508474576272,16,-116,0.0012551080116194166
119,-0.9831932773109243,67,-117,0.0012560990022943545
120,-0.9833333333333333,1,-118,0.0012951549051362491
121,-0.9834710743801653,33,-119,0.001316083902098571
122,-0.9836065573770492,61,-120,0.001322769063301678
123,-0.975609756097561,100,-120,0.001322754109840704
124,-0.9758064516129032,25,-121,0.0013237418156672046
125,-0.976,15,-122,0.001328593189111635
126,-0.9761904761904762,5,-123,0.0013522657629030548
127,-0.9763779527559056,32,-124,0.0013732976228955811
128,-0.9765625,68,-125,0.0013762279691330326
129,-0.9767441860465116,75,-126,0.001377209998909378
130,-0.9769230769230769,4,-127,0.0013996433904635037
131,-0.9770992366412213,40,-128,0.0014044819198359532
132,-0.9772727272727273,2,-129,0.0014445430037295466
133,-0.9774436090225563,23,-130,0.0014530079704266926
134,-0.9776119402985075,10,-131,0.0014938033147485726
135,-0.9777777777777777,21,-132,0.001500484318497687
136,-0.9779411764705882,2,-133,0.001541968952923698
137,-0.9781021897810219,59,-134,0.0015504451531907272
138,-0.9782608695652174,18,-135,0.0015606554791225593
139,-0.9784172661870504,20,-136,0.0015636051653935084
140,-0.9785714285714285,72,-137,0.0015859217549889745
141,-0.9787234042553191,54,-138,0.001590752513535891
142,-0.9788732394366197,15,-139,0.0016144848400291973
143,-0.9790209790209791,24,-140,0.0016395067626515394
144,-0.9791666666666666,39,-141,0.0016513592785969851
145,-0.9793103448275862,3,-142,0.001693507384508087
146,-0.9794520547945206,9,-143,0.0017037221663725641
147,-0.9795918367346939,1,-144,0.001745938812112037
148,-0.9797297297297297,49,-145,0.0017526273228354397
149,-0.9798657718120806,31,-146,0.0017593168048773687
150,-0.98,17,-147,0.0017603133440075311
151,-0.9801324503311258,56,-148,0.0017631415654737947
152,-0.9802631578947368,19,-149,0.001786785634977553
153,-0.9803921568627451,30,-150,0.0017897223142651886
154,-0.9805194805194806,48,-151,0.0017981969490976208
155,-0.9806451612903225,22,-152,0.0018231220690737334
156,-0.9807692307692307,65,-153,0.0018333441843948327
157,-0.9808917197452229,2,-154,0.0018767117766273012
158,-0.9810126582278481,11,-155,0.0019017526933610884
159,-0.9811320754716981,23,-156,0.0019152274971753714
160,-0.98125,53,-157,0.0019219135750916285
161,-0.9813664596273292,8,-158,0.0019658551271491223
162,-0.9814814814814815,78,-159,0.0019760318944851414
163,-0.9815950920245399,30,-160,0.0019895574802072684
164,-0.9817073170731707,26,-161,0.0019925131537475793
165,-0.9818181818181818,4,-162,0.0020076385976101506
166,-0.9819277108433735,15,-163,0.002033793706205069
167,-0.9820359281437125,30,-164,0.0020488696722873534
168,-0.9821428571428571,41,-165,0.0020607666662400136
169,-0.9822485207100592,24,-166,0.002087027702658467
170,-0.9823529411764705,13,-167,0.0021315674749806013
171,-0.9824561403508771,11,-168,0.002158809522973256
172,-0.9825581395348837,90,-169,0.002170644276164758
173,-0.9710982658959537,59,-168,0.0021735380659702363
174,-0.9712643678160919,14,-169,0.0021820109007181674
175,-0.9714285714285714,14,-170,0.002208099898268348
176,-0.9715909090909091,77,-171,0.0022199733497042322
177,-0.9717514124293786,34,-172,0.002247318180779979
178,-0.9719101123595506,22,-173,0.002275882568469663
179,-0.9720670391061452,57,-174,0.0022806804119063985
180,-0.9722222222222222,8,-175,0.002325833036446299
181,-0.9723756906077348,19,-176,0.0023268119175449105
182,-0.9725274725274725,5,-177,0.0023725932863518746
183,-0.9726775956284153,11,-178,0.002389093083752879
184,-0.9728260869565217,71,-179,0.002402519073780362
185,-0.972972972972973,47,-180,0.0024127241542155325
186,-0.9731182795698925,4,-181,0.0024591021822625045
187,-0.9732620320855615,49,-182,0.00246389095251138
188,-0.973404255319149,16,-183,0.002468679836803833
189,-0.9735449735449735,2,-184,0.002515078349912292
190,-0.9736842105263158,17,-185,0.0025198694821615183
191,-0.9685863874345549,100,-185,0.0025198025133197437
192,-0.96875,30,-186,0.0025246235244479067
193,-0.9689119170984456,16,-187,0.0025275791104411834
194,-0.9690721649484536,53,-188,0.002528425132979008
195,-0.9692307692307692,1,-189,0.0025744001484438893
196,-0.9693877551020408,3,-190,0.0026028951187694604
197,-0.9695431472081218,27,-191,0.002603885755129219
198,-0.9696969696969697,27,-192,0.002610519569618097
199,-0.9698492462311558,15,-193,0.0026115124632550757
200,-0.97,2,-194,0.0026582228394213484
201,-0.9701492537313433,14,-195,0.0026856672997123653
202,-0.9702970297029703,27,-196,0.0026904360880150267
203,-0.9704433497536946,13,-197,0.002703974807162249
204,-0.9705882352941176,60,-198,0.0027049669200797464
205,-0.9707317073170731,89,-199,0.0027215400924697035
206,-0.970873786407767,21,-200,0.002722480062769783
207,-0.9710144927536232,93,-201,0.00273756490726746
208,-0.9711538461538461,5,-202,0.002767187369316776
209,-0.9712918660287081,27,-203,0.0027737453903523644
210,-0.9714285714285714,44,-204,0.00277669004153952
211,-0.9715639810426541,42,-205,0.00278515968289331
212,-0.9716981132075472,6,-206,0.0028149312169663543
213,-0.971830985915493,40,-207,0.002815919955470486
214,-0.9719626168224299,37,-208,0.002832500684360628
215,-0.9720930232558139,5,-209,0.0028805583507931676
216,-0.9722222222222222,48,-210,0.0028834366749286777
217,-0.9723502304147466,39,-211,0.00288435596764382
218,-0.9724770642201835,16,-212,0.0029024052001599045
219,-0.9680365296803652,100,-212,0.0029021855814176122
220,-0.9681818181818181,24,-213,0.002903036714172122
221,-0.9683257918552036,39,-214,0.0029059051124114936
222,-0.9684684684684685,27,-215,0.0029365476877306427
223,-0.968609865470852,26,-216,0.002937538894123563
224,-0.96875,43,-217,0.002940490720273074
225,-0.9688888888888889,27,-218,0.0029434430736505375
226,-0.9690265486725663,1,-219,0.0029904689164132
227,-0.9691629955947136,4,-220,0.003021033729423442
228,-0.9692982456140351,10,-221,0.0030276802338141374
229,-0.9694323144104804,32,-222,0.0030306308838594868
230,-0.9695652173913043,10,-223,0.0030501247791496766
231,-0.9696969696969697,4,-224,0.003071094659660099
232,-0.9698275862068966,12,-225,0.003102716474563983
233,-0.9699570815450643,1,-226,0.0031500535538454516
234,-0.9700854700854701,14,-227,0.0031585325357739585
235,-0.9702127659574468,45,-228,0.0031595236175191582
236,-0.9703389830508474,59,-229,0.003177638952266312
237,-0.9704641350210971,1,-230,0.003225268603951964
238,-0.9705882352941176,65,-231,0.0032262582576384575
239,-0.9707112970711297,21,-232,0.0032272510065906456
240,-0.9708333333333333,24,-233,0.0032321029698717868
241,-0.970954356846473,8,-234,0.0032405918350981587
242,-0.9628099173553719,57,-233,0.0032454435700809935
243,-0.9629629629629629,5,-234,0.003267772584298281
244,-0.9631147540983607,4,-235,0.0032914286719195984
245,-0.963265306122449,29,-236,0.0033162665960101874
246,-0.9634146341463414,59,-237,0.0033228228518202094
247,-0.9635627530364372,5,-238,0.0033555028790907227
248,-0.9637096774193549,5,-239,0.003389195834851007
249,-0.963855421686747,2,-240,0.0034381999709017946
250,-0.964,10,-241,0.0034728719947605467
251,-0.9641434262948207,39,-242,0.003487976242713733
252,-0.9642857142857143,38,-243,0.0034908926112932974
253,-0.9644268774703557,1,-244,0.0035390533888074323
254,-0.9645669291338582,73,-245,0.0035570978485828138
255,-0.9647058823529412,46,-246,0.003567291503808837
256,-0.96484375,61,-247,0.0035700388881805345
257,-0.9649805447470817,25,-248,0.003589478509561317
258,-0.9651162790697675,45,-249,0.003601321898952103
259,-0.9613899613899614,100,-249,0.0036012031258436535
260,-0.9615384615384616,4,-250,0.0036331160409998446
261,-0.9616858237547893,10,-251,0.0036687122462942113
262,-0.9618320610687023,22,-252,0.0036894799061071943
263,-0.9581749049429658,100,-252,0.003689359492111018
264,-0.9545454545454546,100,-252,0.0036893044446726932
265,-0.9547169811320755,20,-253,0.003715367411260455
266,-0.9548872180451128,31,-254,0.0037271971611134193
267,-0.9550561797752809,1,-255,0.0037755974511679553
268,-0.9552238805970149,61,-256,0.003776563505093981
269,-0.9553903345724907,3,-257,0.00382579471345167
270,-0.9555555555555556,5,-258,0.003862314185999305
271,-0.955719557195572,26,-259,0.0038707852540377286
272,-0.9558823529411765,4,-260,0.00390820531108516
273,-0.9487179487179487,44,-259,0.0039148671446786
274,-0.948905109489051,70,-260,0.003917757065534023
275,-0.9490909090909091,1,-261,0.003966586597435364
276,-0.9492753623188406,39,-262,0.003986106910756775
277,-0.9494584837545126,24,-263,0.0040242638314280385
278,-0.9496402877697842,21,-264,0.004037772202076397
279,-0.9498207885304659,37,-265,0.004058624820235183
280,-0.95,4,-266,0.004091534168389994
281,-0.9501779359430605,16,-267,0.004101724045952327
282,-0.950354609929078,16,-268,0.004130144157895221
283,-0.950530035335689,19,-269,0.0041419741980363925
284,-0.9507042253521126,11,-270,0.004171777764521619
285,-0.9508771929824561,56,-271,0.004174695363142069
286,-0.951048951048951,97,-272,0.004175618389437872
287,-0.9512195121951219,29,-273,0.00418912183335479
288,-0.9513888888888888,38,-274,0.0041920300729507125
289,-0.9515570934256056,36,-275,0.0042022157238934075
290,-0.9517241379310345,25,-276,0.0042157264230584576
291,-0.9518900343642611,57,-277,0.004224100376883003
292,-0.952054794520548,14,-278,0.004237589748605363
293,-0.9488054607508533,100,-278,0.004237532189366399
294,-0.9489795918367347,39,-279,0.004242356960710804
295,-0.9491525423728814,27,-280,0.004276016228661446
296,-0.9493243243243243,22,-281,0.004306847086221726
297,-0.9494949494949495,1,-282,0.004355867243266466
298,-0.9496644295302014,3,-283,0.00439078123429466
299,-0.9498327759197325,21,-284,0.004397455269863438
300,-0.95,13,-285,0.004429480144310619
301,-0.9501661129568106,42,-286,0.004432409248677913
302,-0.9503311258278145,4,-287,0.004471488624135593
303,-0.9504950495049505,36,-288,0.004507001264203868
304,-0.9506578947368421,62,-289,0.0045291901915081615
305,-0.9508196721311475,4,-290,0.004562291768369659
306,-0.9509803921568627,16,-291,0.004577383760586937
307,-0.9511400651465798,43,-292,0.0045940127853651555
308,-0.9512987012987013,37,-293,0.004616299649364861
309,-0.9514563106796117,17,-294,0.004628167112825665
310,-0.9516129032258065,14,-295,0.0046416629262471445
311,-0.9517684887459807,36,-296,0.004659761227692711
312,-0.9519230769230769,18,-297,0.004662678642023746
313,-0.952076677316294,30,-298,0.004689830084975407
314,-0.9522292993630573,10,-299,0.004726577002954168
315,-0.9523809523809523,1,-300,0.004775772368373672
316,-0.9525316455696202,42,-301,0.004799291455425176
317,-0.9526813880126183,19,-302,0.004832999699033341
318,-0.9465408805031447,61,-301,0.004841412646239812
319,-0.9467084639498433,27,-302,0.004864885542299894
320,-0.946875,3,-303,0.004904741578775907
321,-0.9470404984423676,4,-304,0.00495555157633645
322,-0.9472049689440993,20,-305,0.004992789935632647
323,-0.9473684210526315,30,-306,0.0050174348825906
324,-0.9475308641975309,21,-307,0.005042209285349456
325,-0.9476923076923077,4,-308,0.005070659357971472
326,-0.9478527607361963,49,-309,0.005096654427081784
327,-0.9480122324159022,9,-310,0.005111725475972901
328,-0.948170731707317,8,-311,0.005146751632957351
329,-0.9483282674772037,5,-312,0.005182746481647647
330,-0.9484848484848485,19,-313,0.0052232549603266785
331,-0.9486404833836858,9,-314,0.005260126744060107
332,-0.9487951807228916,23,-315,0.005289617636786803
333,-0.948948948948949,51,-316,0.0053045372635366905
334,-0.9461077844311377,100,-316,0.005304360125154617
335,-0.9462686567164179,12,-317,0.005323858015644104
336,-0.9464285714285714,27,-318,0.005365006621343867
337,-0.9465875370919882,14,-319,0.005380027315121823
338,-0.9467455621301775,29,-320,0.005384833159321161
339,-0.9469026548672567,58,-321,0.005401264757873801
340,-0.9470588235294117,27,-322,0.005442297820061885
341,-0.9472140762463344,27,-323,0.0054847644523412465
342,-0.9473684210526315,11,-324,0.005535840068648069
343,-0.9475218658892128,14,-325,0.005566406620779828
344,-0.9476744186046512,57,-326,0.005593561138285174
345,-0.9478260869565217,25,-327,0.0056220334011411344
346,-0.9479768786127167,1,-328,0.005671666073642329
347,-0.9423631123919308,68,-327,0.005681826134178698
348,-0.9425287356321839,1,-328,0.0057315764834514425
349,-0.9398280802292264,100,-328,0.005731413604370337
350,-0.94,1,-329,0.005781268234977336
351,-0.9401709401709402,5,-330,0.00581902950180126
352,-0.9346590909090909,74,-329,0.005830688268098416
353,-0.9348441926345609,18,-330,0.005862166573251438
354,-0.9350282485875706,37,-331,0.005883100813069828
355,-0.9352112676056338,3,-332,0.0059217248567988824
356,-0.9297752808988764,28,-331,0.005935160907403659
357,-0.9299719887955182,3,-332,0.005974630057353635
358,-0.9301675977653632,4,-333,0.006026544290556499
359,-0.924791086350975,71,-332,0.006041164017507698
360,-0.925,17,-333,0.006084209514086545
361,-0.925207756232687,1,-334,0.006134234020863977
362,-0.925414364640884,9,-335,0.00618533168215391
363,-0.9256198347107438,39,-336,0.006190001755024071
364,-0.9258241758241759,22,-337,0.006241984160365508
365,-0.9205479452054794,42,-336,0.006258429465323898
366,-0.9207650273224044,16,-337,0.0062650216133785
367,-0.9209809264305178,14,-338,0.006317669576005072
368,-0.9211956521739131,1,-339,0.006367889115790041
369,-0.9214092140921409,20,-340,0.00641153201057819
370,-0.9216216216216216,1,-341,0.006461772153013936
371,-0.921832884097035,21,-342,0.006464612434554896
372,-0.9220430107526881,1,-343,0.006514862569933745
373,-0.9222520107238605,50,-344,0.006515298187157837
374,-0.9171122994652406,75,-343,0.006532714081010059
375,-0.912,43,-342,0.00655194862685703
376,-0.9122340425531915,1,-343,0.006602198458601637
377,-0.9071618037135278,24,-342,0.006623054256034605
378,-0.9074074074074074,8,-343,0.006627812322192055
379,-0.9076517150395779,21,-344,0.006634182863848945
380,-0.9026315789473685,36,-343,0.0066563856390269675
381,-0.9028871391076115,9,-344,0.0066728466763041365
382,-0.9031413612565445,53,-345,0.006690831553665615
383,-0.9033942558746736,34,-346,0.006720343446669131
384,-0.9036458333333334,62,-347,0.006746312271759831
385,-0.9038961038961039,7,-348,0.006762966246937712
386,-0.9041450777202072,29,-349,0.006780988636618104
387,-0.9018087855297158,100,-349,0.006780790884622661
388,-0.9020618556701031,7,-350,0.006833727313725828
389,-0.9023136246786633,15,-351,0.006873774196801252
390,-0.8974358974358975,44,-350,0.006897373285993467
391,-0.8976982097186701,15,-351,0.006938202425904069
392,-0.8979591836734694,25,-352,0.0069408681557420505
393,-0.8982188295165394,33,-353,0.00696023532353511
394,-0.8934010152284264,27,-352,0.006985140274213303
395,-0.8936708860759494,26,-353,0.006989774796461951
396,-0.8939393939393939,3,-354,0.007043082770107995
397,-0.8942065491183879,5,-355,0.007096735086212292
398,-0.8944723618090452,20,-356,0.007116147970544685
399,-0.8947368421052632,60,-357,0.007116450086022668
400,-0.895,15,-358,0.007157878065970142
401,-0.8952618453865336,3,-359,0.007200293304818388
402,-0.8955223880597015,9,-360,0.007242506587115305
403,-0.8957816377171216,9,-361,0.00725910839841336
404,-0.8960396039603961,21,-362,0.007261865822909722
405,-0.8962962962962963,21,-363,0.007270282480794556
406,-0.896551724137931,10,-364,0.007309068727456942
407,-0.8968058968058968,1,-365,0.00735922039092584
408,-0.8970588235294118,51,-366,0.007361701727153474
409,-0.8973105134474327,6,-367,0.007394361517250559
410,-0.8975609756097561,15,-368,0.007445625734095895
411,-0.8978102189781022,47,-369,0.007449877235185987
412,-0.8980582524271845,1,-370,0.0074999256578425835
413,-0.8934624697336562,44,-369,0.007525655137111211
414,-0.8888888888888888,63,-368,0.007553016673248137
415,-0.8891566265060241,13,-369,0.0075613457956557216
416,-0.8846153846153846,93,-368,0.0075894256980835175
417,-0.8848920863309353,7,-369,0.007633193309530349
418,-0.8851674641148325,58,-370,0.007637832283644797
419,-0.8854415274463007,1,-371,0.007687816504240866
420,-0.8857142857142857,43,-372,0.007688563517968211
421,-0.8859857482185273,1,-373,0.0077384754965092555
422,-0.8862559241706162,31,-374,0.007746496043203468
423,-0.8865248226950354,13,-375,0.0077644563658685484
424,-0.8867924528301887,12,-376,0.007771022702029592
425,-0.8870588235294118,7,-377,0.007798188295724619
426,-0.8826291079812206,49,-376,0.007827814949960162
427,-0.882903981264637,8,-377,0.007861214684897934
428,-0.8785046728971962,30,-376,0.007891613628769887
429,-0.8787878787878788,1,-377,0.007941445578433454
430,-0.8744186046511628,39,-376,0.007973146791442738
431,-0.8747099767981439,21,-377,0.00797602418968352
432,-0.8703703703703703,31,-376,0.008008869503625702
433,-0.8706697459584296,6,-377,0.008048291602102171
434,-0.8709677419354839,15,-378,0.008066132625700873
435,-0.871264367816092,24,-379,0.008100646429138554
436,-0.8715596330275229,14,-380,0.008145371062117063
437,-0.8718535469107551,53,-381,0.008155265837205088
438,-0.8698630136986302,100,-381,0.008154918286229886
439,-0.8701594533029613,21,-382,0.00819475699918795
440,-0.865909090909091,29,-381,0.008228438095477825
441,-0.8662131519274376,1,-382,0.008278182476643619
442,-0.8665158371040724,73,-383,0.00829739841796679
443,-0.8668171557562077,25,-384,0.008338232029095947
444,-0.8626126126126126,24,-383,0.008372902021817482
445,-0.8629213483146068,76,-384,0.008422862352033276
446,-0.8632286995515696,1,-385,0.008472409937067929
447,-0.8635346756152126,10,-386,0.008507697197332903
448,-0.8638392857142857,14,-387,0.008559045793662698
449,-0.8641425389755011,6,-388,0.008604444409796814
450,-0.8644444444444445,12,-389,0.008625316897436652
451,-0.8603104212860311,89,-388,0.008660878896836685
452,-0.8606194690265486,24,-389,0.008696934696106875
453,-0.8609271523178808,10,-390,0.008740652493282293
454,-0.8612334801762115,7,-391,0.008786713150209817
455,-0.8615384615384616,1,-392,0.00883603660337987
456,-0.8618421052631579,9,-393,0.008877931506430244
457,-0.862144420131291,30,-394,0.008898617983759039
458,-0.8624454148471615,5,-395,0.008943831061628486
459,-0.8627450980392157,51,-396,0.00895027730003755
460,-0.8630434782608696,13,-397,0.008965251902438775
461,-0.8633405639913232,1,-398,0.009014453596917793
462,-0.8636363636363636,7,-399,0.009061530788305225
463,-0.8596112311015118,30,-398,0.009098160403349476
464,-0.8556034482758621,38,-397,0.009135781330949978
465,-0.8559139784946237,3,-398,0.009180366432550323
466,-0.8562231759656652,24,-399,0.009185114126141487
467,-0.8565310492505354,15,-400,0.009215393593818316
468,-0.8568376068376068,27,-401,0.0092162837003765
469,-0.8571428571428571,17,-402,0.009226341401058274
470,-0.8574468085106383,29,-403,0.009270221107217829
471,-0.8577494692144374,53,-404,0.009301676171395337
472,-0.8538135593220338,30,-403,0.009339104586955143
473,-0.854122621564482,10,-404,0.009361225748757324
